18 Pa.C.S. §  ,DESCRIPTION,STATUTORY CLASS,§  303.3 OFFENSE GRAVITY SCORE,§  303.7
3301(a.1)(1)(i)*,"Aggravated arson-cause BI to firefighter, etc.",F-1,12,4
3301(a.1)(1)(ii),Aggravated arson-other felony arson (when person present inside property),F-1,10,4
3301(a.1)(2),Aggravated arson-fire/explosion causes death of any person,Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
3301(a.2)(1),Arson of historic resource-w/ intent (fire/explosion),F-2,7,2
3301(a.2)(2),Arson of historic resource-aids/pays (fire/explosion),F-2,7,2
3301(c)(1),Arson endangering property-intent to destroy unoccupied bldg,F-2,6,2
3301(c)(2),Arson endangering property-endangers inhabited building,F-2,6,2
3301(c)(3),Arson endangering property-intent to collect insurance,F-2,6,2
3301(d)(1),Arson-reckless burning or exploding (endanger unoccupied bldg),F-3,5,1
3301(d)(2),Arson-reckless burning or exploding (endanger property ›$5000),F-3,5,1
3301(e)(1),Arson-failure to control/report (duty),M-1,3,m
3301(e)(2),Arson-failure to control/report (own property),M-1,3,m
3301(f),Arson-possess explosive material (intent to use),F-3,5,1
3301(g),Arson-failure to disclose true owner,M-3,1,m
3302(a),Catastrophe-causing (intentionally),F-1,10,3
3302(a),Catastrophe-causing (recklessly),F-2,6,2
3302(b),Catastrophe-risking,F-3,4,1
3303(1),Failure to prevent catastrophe-duty,M-2,2,m
3303(2),Failure to prevent catastrophe-acted or assented to,M-2,2,m
3304(a)(1),"Criminal mischief-damage prop/intent/reckless/neglig (›$5,000)",F-3,5,1
3304(a)(1),"Criminal mischief-damage prop/intent/reckless/neglig (›$1,000)",M-2,2,m
3304(a)(1),Criminal mischief-damage prop/intent/reckless/neglig (›$500),M-3,1,m
3304(a)(2),"Criminal mischief-tamper w/ property (›$5,000)",F-3,5,1
3304(a)(2),"Criminal mischief-tamper w/ property (›$1,000)",M-2,2,m
3304(a)(2),Criminal mischief-tamper w/ property (›$500),M-3,1,m
3304(a)(3),"Criminal mischief-cause pecuniary loss (›$5,000)",F-3,5,1
3304(a)(3),"Criminal mischief-cause pecuniary loss (›$1,000)",M-2,2,m
3304(a)(3),Criminal mischief-cause pecuniary loss (›$500),M-3,1,m
3304(a)(4),"Criminal mischief-graffiti (›$5,000)",F-3,5,1
3304(a)(4),"Criminal mischief-graffiti (›$1,000)",M-2,2,m
3304(a)(4),Criminal mischief-graffiti (›$150),M-3,1,m
3304(a)(5),Criminal mischief-damage property,F-3,5,1
,"(›$5,000)",,,
3304(a)(5),Criminal mischief-damage property,M-2,2,m
,"(›$1,000)",,,
3304(a)(5),Criminal mischief-damage property (›$500),M-3,1,m
3304(a)(6),"Criminal mischief-paintball (›$5,000)",F-3,5,1
3304(a)(6),"Criminal mischief-paintball (›$1,000)",M-2,2,m
3304(a)(6),Criminal mischief-paintball (›$500),M-3,1,m
3305,Tampering w/ fire apparatus/hydrants,M-3,1,m
3307(a)(1),"Institutional vandalism-place of worship (›$5,000 or desecration)",F-3,5,1
3307(a)(1),"Institutional vandalism-place of worship (‹=$5,000)",M-2,2,m
3307(a)(2),"Institutional vandalism-cemetery (›$5,000 or desecration)",F-3,5,1
3307(a)(3),"Institutional vandalism-school (›$5,000 or desecration)",F-3,5,1
3307(a)(3),"Institutional vandalism-school (‹=$5,000)",M-2,2,m
3307(a)(3),"Institutional vandalism-cemetery (‹=$5,000)",M-2,2,m
3307(a)(4),"Institutional vandalism-adjacent grounds (›$5,000 or desecration)",F-3,5,1
3307(a)(4),"Institutional vandalism-adjacent grounds (‹=$5,000)",M-2,2,m
3307(a)(5),"Institutional vandalism-personal property (›$5,000 or desecration)",F-3,5,1
3307(a)(5),"Institutional vandalism-personal property (‹=$5,000)",M-2,2,m
3307(a.1),Institutional vandalism-possess marking device on property,M-2,2,m
3309(a),"Agricultural vandalism (›$5,000)",F-3,5,1
3309(a),"Agricultural vandalism (›$1,000)",M-1,3,m
3309(a),Agricultural vandalism (›$500),M-2,2,m
3309(a),Agricultural vandalism (‹=$500),M-3,1,m
3310(a),Agricultural crop destruction,F-2,7,2
3311(a)(1)(i),Ecoterrorism-intimidate individual participation (if off is F-1),F-1,14,4
3311(a)(1)(i),Ecoterrorism-intimidate individual participation (if off is F-2),F-1,one point higher than object offense,See §  303.7(a)
3311(a)(1)(i),Ecoterrorism-intimidate individual participation (if off is F-3/ungr fel),F-2,one point higher than object offense,See §  303.7(a)
3311(a)(1)(i),Ecoterrorism-intimidate individual participation (if off is M-1),F-3,one point higher than object offense,See §  303.7(a)
3311(a)(1)(i),Ecoterrorism-intimidate individual participation (if off is M-2),M-1,one point higher than object offense,See §  303.7(a)
3311(a)(1)(i),Ecoterrorism-intimidate individual participation (if off is M-3/ungr misd),M-2,one point higher than object offense,See §  303.7(a)
3311(a)(1)(i),Ecoterrorism-intimidate individual participation (if off is S),M-3,one point higher than object offense,See §  303.7(a)
3311(a)(1)(ii),Ecoterrorism-intimidate individ. using,F-1,14,4
,animal/plant/etc. (if off is F-1),,,
3311(a)(1)(ii),Ecoterrorism-intimidate individ. using,F-1,one point higher than object offense,See §  303.7(a)
,animal/plant/etc. (if off is F-2),,,
3311(a)(1)(ii),Ecoterrorism-intimidate individ. using,F-2,one point higher than object offense,See §  303.7(a)
,animal/plant/etc. (if off is F-3/ungr fel),,,
3311(a)(1)(ii),Ecoterrorism-intimidate individ. using,F-3,one point higher than object offense,See §  303.7(a)
,animal/plant/etc. (if off is M-1),,,
3311(a)(1)(ii),Ecoterrorism-intimidate individ. using,M-1,one point higher than object offense,See §  303.7(a)
,animal/plant/etc. (if off is M-2),,,
3311(a)(1)(ii),Ecoterrorism-intimidate individ. using,M-2,one point higher than object offense,See §  303.7(a)
,animal/plant/etc. (if off is M-3/ungr misd),,,
3311(a)(1)(ii),Ecoterrorism-intimidate individ. using,M-3,one point higher than object offense,See §  303.7(a)
,animal/plant/etc. (if off is S),,,
3311(a)(2)(i),Ecoterrorism-obstruct individ. from activity,F-1,14,4
,(if off is F-1),,,
3311(a)(2)(i),Ecoterrorism-obstruct individ. from activity,F-1,one point higher than object offense,See §  303.7(a)
,(if off is F-2),,,
3311(a)(2)(i),Ecoterrorism-obstruct individ. from activity,F-2,one point higher than object offense,See §  303.7(a)
,(if off is F-3/ungr fel),,,
3311(a)(2)(i),Ecoterrorism-obstruct individ. from activity,F-3,one point higher than object offense,See §  303.7(a)
,(if off is M-1),,,
3311(a)(2)(i),Ecoterrorism-obstruct individ. from activity,M-1,one point higher than object offense,See §  303.7(a)
,(if off is M-2),,,
3311(a)(2)(i),Ecoterrorism-obstruct individ. from activity,M-2,one point higher than object offense,See §  303.7(a)
,(if off is M-3/ungr misd),,,
3311(a)(2)(i),Ecoterrorism-obstruct individ. from activity,M-3,one point higher than object offense,See §  303.7(a)
,(if off is S),,,
3311(a)(2)(ii),Ecoterrorism-obstruct individ. using animal/plant/etc. (if off is F-1),F-1,14,4
3311(a)(2)(ii),Ecoterrorism-obstruct individ. using animal/plant/etc. (if off is F-2),F-1,one point higher than object offense,See §  303.7(a)
3311(a)(2)(ii),Ecoterrorism-obstruct individ. using animal/plant/etc. (if off is F-3/ungr fel),F-2,one point higher than object offense,See §  303.7(a)
3311(a)(2)(ii),Ecoterrorism-obstruct individ. using animal/plant/etc. (if off is M-1),F-3,one point higher than object offense,See §  303.7(a)
3311(a)(2)(ii),Ecoterrorism-obstruct individ. using animal/plant/etc. (if off is M-2),M-1,one point higher than object offense,See §  303.7(a)
3311(a)(2)(ii),Ecoterrorism-obstruct individ. using animal/plant/etc. (if off is M-3),M-2,one point higher than object offense,See §  303.7(a)
3311(a)(2)(ii),Ecoterrorism-obstruct individ. using animal/plant/etc. (if off is S),M-3,one point higher than object offense,See §  303.7(a)
3312(a)(2),Destruction of survey monument-call boundary into question,M-2,3,m
3313(a),Illegal dumping of methamphetamine waste,F-3,5,1
3502(a)(1)(i),Burglary-home/person present and bodily injury crime as defined in 18 Pa.C.S. §  3502(e),F-1,10,4
3502(a)(1)(ii),Burglary-home/person present,F-1,9,4
3502(a)(2),Burglary-home/no person present,F-1,7,3
3502(a)(3),Burglary-not a home/person present,F-1,6,3
3502(a)(4),Burglary-not a home/no person present,F-2,5,2
3502(a)(4),Burglary-not a home/no person present (commit theft of drugs),F-1,7,3
3503(a)(1)(i),Criminal trespass-buildings,F-3,3,1
3503(a)(1)(ii),Criminal trespass-buildings (break in),F-2,4,2
3503(b)(1)(i),Criminal trespass-defiant (notice by communication),M-3,1,m
3503(b)(1)(ii),Criminal trespass-defiant (notice posted),M-3,1,m
3503(b)(1)(iii),Criminal trespass-defiant (notice by fencing),M-3,1,m
3503(b)(1)(iv),Criminal trespass-defiant (notice posted/,M-3,1,m
,school grounds),,,
3503(b)(1)(v),Criminal trespass-defiant (communication/leave school grounds),M-1,3,m
3503(b.1)(1)(iv),Criminal trespass-simple trespasser (to take secondary metal),M-1,3,m
3503(b.2)(1)(i),Criminal trespass-agricultural trespass (posted land),M-3,1,m
3503(b.2)(1)(ii),Criminal trespass-agricultural trespass (defies order),M-2,3,m
3503(b.3)(1)(i),Agricultural biosecurity trespass-enter w/o license,M-3,1,m
3503(b.3)(1)(i),Agricultural biosecurity trespass-enter w/o license (damage plant/animal),M-1,3,m
3503(b.3)(1)(ii),Agricultural biosecurity trespass-fail to perform measure (damage plant/animal),M-1,3,m
3504(a)(1)(i),Railroad vandalism to RR property-by disrupting train operation,M-3,1,m
3504(a)(1)(ii),Railroad vandalism to RR property-by,M-3,1,m
,driving vehicle,,,
3504(a)(1)(iii),Railroad vandalism to RR property-by damaging property/equipment,M-3,1,m
3504(b),Railroad protection-stowaways prohibited,M-3,1,m
3701(a)(1)(i),Robbery-inflicts SBI,F-1,12,4
3701(a)(1)(i),Robbery-inflicts SBI (drug-related),F-1,13,4
3701(a)(1)(ii),Robbery-threatens SBI,F-1,10,4
3701(a)(1)(ii),Robbery-threaten SBI (drug-related),F-1,11,4
3701(a)(1)(iii),Robbery-commit/threaten any F1 or F2,F-1,9,4
3701(a)(1)(iii),Robbery-commit/threaten any F1 or F2,F-1,10,4
,(drug-related),,,
3701(a)(1)(iv),Robbery-inflicts/threatens BI,F-2,7,2
3701(a)(1)(iv),Robbery-inflicts/threatens BI (drug-related),F-1,8,3
3701(a)(1)(v),Robbery-takes property by force,F-3,5,1
3701(a)(1)(v),Robbery-takes property by force (drug-related),F-1,6,3
3701(a)(1)(vi),Robbery-demand money from financial institution,F-2,7,2
3702(a)*,Robbery of motor vehicle-with SBI,F-1,12,4
3702(a)*,Robbery of motor vehicle-without SBI,F-1,9,4
3921(a),Theft by unlaw taking-movable property (anhydrous ammonia),F-2,8,2
3921(a),Theft by unlaw taking-movable property (disaster),F-2,8,2
3921(a),Theft by unlaw taking-movable property (firearm),F-2,8,2
3921(a),"Theft by unlaw taking-movable property (=›$500,000)",F-1,8,3
3921(a),Theft by unlaw taking-movable property,F-2,7,2
,"($100,000-‹$500,000)",,,
3921(a)*,"Theft by unlaw taking-movable property (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3921(a)*,"Theft by unlaw taking-movable property (›$2,000-$25,000)",F-3,5,1
3921(a),"Theft by unlaw taking-movable property (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3921(a),"Theft by unlaw taking-movable property ($200-$2,000/no threat)",M-1,3,m
3921(a),Theft by unlaw taking-movable property,M-2,2,m
,($50-‹$200/no threat),,,
3921(a),Theft by unlaw taking-movable property (‹$50/no threat),M-3,1,m
3921(b),Theft by unlaw taking-immovable property (anhydrous ammonia),F-2,8,2
3921(b),Theft by unlaw taking-immovable property (disaster),F-2,8,2
3921(b),Theft by unlaw taking-immovable property (firearm),F-2,8,2
3921(b),"Theft by unlaw taking-immovable property (=›$500,000)",F-1,8,3
3921(b),"Theft by unlaw taking-immovable property ($100,000-‹$500,000)",F-2,7,2
3921(b)*,"Theft by unlaw taking-immovable property (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3921(b)*,"Theft by unlaw taking-immovable property (›$2,000-$25,000)",F-3,5,1
3921(b),"Theft by unlaw taking-immovable property (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3921(b),"Theft by unlaw taking-immovable property ($200-$2,000/no threat)",M-1,3,m
3921(b),Theft by unlaw taking-immovable property ($50-‹$200/no threat),M-2,2,m
3921(b),Theft by unlaw taking-immovable property (‹$50/no threat),M-3,1,m
3922(a)(1),Theft by deception-false impression (anhydrous ammonia),F-2,8,2
3922(a)(1),Theft by deception-false impression (firearm),F-2,8,2
3922(a)(1),"Theft by deception-false impression (=›$500,000)",F-1,8,3
3922(a)(1),"Theft by deception-false impression ($100,000-‹$500,000)",F-2,7,2
3922(a)(1)*,"Theft by deception-false impression (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3922(a)(1)*,"Theft by deception-false impression (›$2,000-$25,000)",F-3,5,1
3922(a)(1),"Theft by deception-false impression (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3922(a)(1),"Theft by deception-false impression ($200-$2,000/no threat)",M-1,3,m
3922(a)(1),Theft by deception-false impression (›$50-$200/no threat),M-2,2,m
3922(a)(1),Theft by deception-false impression (‹$50/,M-3,1,m
,no threat),,,
3922(a)(2),Theft by deception-conceal information (anhydrous ammonia),F-2,8,2
3922(a)(2),Theft by deception-conceal information (firearm),F-2,8,2
3922(a)(2),"Theft by deception-conceal information (=›$500,000)",F-1,8,3
3922(a)(2),"Theft by deception-conceal information ($100,000-‹$500,000)",F-2,7,2
3922(a)(2)*,"Theft by deception-conceal information (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3922(a)(2)*,"Theft by deception-conceal information (›$2,000-$25,000)",F-3,5,1
3922(a)(2),"Theft by deception-conceal information (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3922(a)(2),"Theft by deception-conceal information ($200-$2,000/no threat)",M-1,3,m
3922(a)(2),Theft by deception-conceal information ($50-‹$200/no threat),M-2,2,m
3922(a)(2),Theft by deception-conceal information (‹$50/no threat),M-3,1,m
3922(a)(3),Theft by deception-fail to correct (anhydrous ammonia),F-2,8,2
3922(a)(3),Theft by deception-fail to correct (firearm),F-2,8,2
3922(a)(3),"Theft by deception-fail to correct (=›$500,000)",F-1,8,3
3922(a)(3),"Theft by deception-fail to correct ($100,000-‹$500,000)",F-2,7,2
3922(a)(3),"Theft by deception-fail to correct (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3922(a)(3)*,"Theft by deception-fail to correct (›$2,000-$25,000)",F-3,5,1
3922(a)(3),"Theft by deception-fail to correct (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3922(a)(3),"Theft by deception-fail to correct ($200-$2,000/no threat)",M-1,3,m
3922(a)(3),Theft by deception-fail to correct ($50-‹$200/no threat),M-2,2,m
3922(a)(3),Theft by deception-fail to correct (‹$50/no threat),M-3,1,m
3923(a)(1),Theft by extortion-commit crime (anhydrous ammonia),F-2,8,2
3923(a)(1),Theft by extortion-commit crime (firearm),F-2,8,2
3923(a)(1),"Theft by extortion-commit crime (=›$500,000)",F-1,8,3
3923(a)(1),"Theft by extortion-commit crime ($100,000-‹$500,000)",F-2,7,2
3923(a)(1)*,"Theft by extortion-commit crime (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3923(a)(1)*,"Theft by extortion-commit crime (›$2,000-$25,000)",F-3,5,1
3923(a)(1),"Theft by extortion-commit crime (‹=$2,000/from indiv./by threat/breach)",M-1,4,m
3923(a)(1),"Theft by extortion-commit crime ($200-$2,000/no threat)",M-1,4,m
3923(a)(1),Theft by extortion-commit crime ($50-‹$200/no threat),M-2,2,m
3923(a)(1),Theft by extortion-commit crime (‹$50/no threat),M-3,1,m
3923(a)(2),Theft by extortion-accuse of crime,F-2,8,2
,(anhydrous ammonia),,,
3923(a)(2),Theft by extortion-accuse of crime (firearm),F-2,8,2
3923(a)(2),"Theft by extortion-accuse of crime (=›$500,000)",F-1,8,3
3923(a)(2),Theft by extortion-accuse of crime,F-2,7,2
,"($100,000-‹$500,000)",,,
3923(a)(2)*,"Theft by extortion-accuse of crime (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3923(a)(2)*,Theft by extortion-accuse of crime,F-3,5,1
,"(›$2,000-$25,000)",,,
3923(a)(2),"Theft by extortion-accuse of crime (‹=$2,000/from indiv./by threat/breach)",M-1,4,m
3923(a)(2),"Theft by extortion-accuse of crime ($200-$2,000/no threat)",M-1,4,m
3923(a)(2),Theft by extortion-accuse of crime ($50-‹$200/no threat),M-2,2,m
3923(a)(2),Theft by extortion-accuse of crime (‹$50/no threat),M-3,1,m
3923(a)(3),Theft by extortion-expose secret (anhydrous ammonia),F-2,8,2
3923(a)(3),Theft by extortion-expose secret (firearm),F-2,8,2
3923(a)(3),"Theft by extortion-expose secret (=›$500,000)",F-1,8,3
3923(a)(3),"Theft by extortion-expose secret ($100,000-‹$500,000)",F-2,7,2
3923(a)(3)*,"Theft by extortion-expose secret (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3923(a)(3)*,"Theft by extortion-expose secret (›$2,000-$25,000)",F-3,5,1
3923(a)(3),"Theft by extortion-expose secret (‹=$2,000/from indiv./by threat/breach)",M-1,4,m
3923(a)(3),"Theft by extortion-expose secret ($200-$2,000/no threat)",M-1,4,m
3923(a)(3),Theft by extortion-expose secret ($50-‹$200/no threat),M-2,2,m
3923(a)(3),Theft by extortion-expose secret (‹$50/no threat),M-3,1,m
3923(a)(4),Theft by extortion-official action (anhydrous ammonia),F-2,8,2
3923(a)(4),Theft by extortion-official action (firearm),F-2,8,2
3923(a)(4),"Theft by extortion-official action (=›$500,000)",F-1,8,3
3923(a)(4),"Theft by extortion-official action ($100,000-‹$500,000)",F-2,7,2
3923(a)(4)*,"Theft by extortion-official action (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3923(a)(4)*,"Theft by extortion-official action (›$2,000-$25,000)",F-3,5,1
3923(a)(4),"Theft by extortion-official action (‹=$2,000/from indiv./by threat/breach)",M-1,4,m
3923(a)(4),"Theft by extortion-official action ($200-$2,000/no threat)",M-1,4,m
3923(a)(4),Theft by extortion-official action ($50-‹$200/no threat),M-2,2,m
3923(a)(4),Theft by extortion-official action (‹$50/no threat),M-3,1,m
3923(a)(5),Theft by extortion-strike/boycott (anhydrous ammonia),F-2,8,2
3923(a)(5),Theft by extortion-strike/boycott (firearm),F-2,8,2
3923(a)(5),"Theft by extortion-strike/boycott (=›$500,000)",F-1,8,3
3923(a)(5),"Theft by extortion-strike/boycott ($100,000-‹$500,000)",F-2,7,2
3923(a)(5)*,"Theft by extortion-strike/boycott (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3923(a)(5)*,"Theft by extortion-strike/boycott (›$2,000-$25,000)",F-3,5,1
3923(a)(5),"Theft by extortion-strike/boycott (‹=$2,000/from indiv./by threat/breach)",M-1,4,m
3923(a)(5),"Theft by extortion-strike/boycott ($200-$2,000/no threat)",M-1,4,m
3923(a)(5),Theft by extortion-strike/boycott ($50-‹$200/no threat),M-2,2,m
3923(a)(5),Theft by extortion-strike/boycott (‹$50/no threat),M-3,1,m
3923(a)(6),Theft by extortion-testimony (anhydrous ammonia),F-2,8,2
3923(a)(6),Theft by extortion-testimony (firearm),F-2,8,2
3923(a)(6),"Theft by extortion-testimony (=›$500,000)",F-1,8,3
3923(a)(6),"Theft by extortion-testimony ($100,000-‹$500,000)",F-2,7,2
3923(a)(6)*,"Theft by extortion-testimony (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3923(a)(6)*,"Theft by extortion-testimony (›$2,000-$25,000)",F-3,5,1
3923(a)(6),"Theft by extortion-testimony (‹=$2,000/from indiv./by threat/breach)",M-1,4,m
3923(a)(6),"Theft by extortion-testimony ($200-$2,000/no threat)",M-1,4,m
3923(a)(6),Theft by extortion-testimony ($50-‹$200/no threat),M-2,2,m
3923(a)(6),Theft by extortion-testimony,M-3,1,m
,(‹$50/no threat),,,
3923(a)(7),Theft by extortion-inflict harm (anhydrous ammonia),F-2,8,2
3923(a)(7),Theft by extortion-inflict harm (firearm),F-2,8,2
3923(a)(7),"Theft by extortion-inflict harm (=›$500,000)",F-1,8,3
3923(a)(7),"Theft by extortion-inflict harm ($100,000-‹$500,000)",F-2,7,2
3923(a)(7),"Theft by extortion-inflict harm (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3923(a)(7)*,"Theft by extortion-inflict harm (›$2,000-$25,000)",F-3,5,1
3923(a)(7),"Theft by extortion-inflict harm (‹=$2,000/from indiv./by threat/breach)",M-1,4,m
3923(a)(7),"Theft by extortion-inflict harm ($200-$2,000/no threat)",M-1,4,m
3923(a)(7),Theft by extortion-inflict harm ($50-‹$200/no threat),M-2,2,m
3923(a)(7),Theft by extortion-inflict harm (‹$50/no threat),M-3,1,m
3924,Theft of property-lost/mislaid (anhydrous ammonia),F-2,8,2
3924,Theft of property-lost/mislaid (firearm),F-2,8,2
3924,"Theft of property-lost/mislaid (=›$500,000)",F-1,8,3
3924,"Theft of property-lost/mislaid ($100,000-‹$500,000)",F-2,7,2
3924*,"Theft of property-lost/mislaid (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3924*,"Theft of property-lost/mislaid (›$2,000-$25,000)",F-3,5,1
3924,"Theft of property-lost/mislaid (‹=$2,000/",M-1,3,m
,from indiv./by threat/breach),,,
3924,"Theft of property-lost/mislaid ($200-$2,000/",M-1,3,m
,no threat),,,
3924,Theft of property-lost/mislaid ($50-‹$200/,M-2,2,m
,no threat),,,
3924,Theft of property-lost/mislaid (‹$50/no threat),M-3,1,m
3925(a),Theft by receiving stolen property (anhydrous ammonia),F-2,8,2
3925(a),Theft by receiving stolen property (disaster),F-2,8,2
3925(a),Theft by receiving stolen property (firearm/receiver in business),F-1,9,3
3925(a),Theft by receiving stolen property (firearm/receiver not in business),F-2,8,2
3925(a),"Theft of receiving stolen property (=›$500,000)",F-1,8,3
3925(a),"Theft by receiving stolen property ($100,000-‹$500,000)",F-2,7,2
3925*,Theft of receiving stolen property,F-3,6,1
,"(›$25,000-‹$100,000/or motorized vehicle)",,,
3925(a)*,"Theft by receiving stolen property (›$2,000-$25,000)",F-3,5,1
3925(a),Theft by receiving stolen property,M-1,3,m
,"(‹=$2,000/from indiv./by threat/breach)",,,
3925(a),"Theft by receiving stolen property ($200-$2,000/no threat)",M-1,3,m
3925(a),Theft by receiving stolen property ($50-‹$200/no threat),M-2,2,m
3925(a),Theft by receiving stolen property (‹$50/no threat),M-3,1,m
3926(a)(1),Theft of services-obtain service (anhydrous ammonia),F-2,8,2
3926(a)(1),Theft of services-obtain service (firearm),F-2,8,2
3926(a)(1),Theft of services-obtain service,F-1,8,3
,"(=›$500,000)",,,
3926(a)(1),"Theft of services-obtain service ($100,000-‹$500,000)",F-2,7,2
3926(a)(1)*,"Theft of services-obtain service (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3926(a)(1)*,"Theft of services-obtain service (›$2,000-$25,000)",F-3,5,1
3926(a)(1),"Theft of services-obtain service (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3926(a)(1),"Theft of services-obtain service ($200-$2,000/no threat)",M-1,3,m
3926(a)(1),Theft of services-obtain service ($50-‹$200/no threat),M-2,2,m
3926(a)(1),Theft of services-obtain service (‹$50/no threat),M-3,1,m
3926(a)(1.1),Theft of services-obtain telecommunications (anhydrous ammonia),F-2,8,2
3926(a)(1.1),Theft of services-obtain telecommunications (firearm),F-2,8,2
3926(a)(1.1),"Theft of services-obtain telecommunications (=›$500,000)",F-1,8,3
3926(a)(1.1),"Theft of services-obtain telecommunications ($100,000-‹$500,000)",F-2,7,2
3926(a)(1.1)*,"Theft of services-obtain telecommunications (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3926(a)(1.1)*,"Theft of services-obtain telecommunications (›$2,000-$25,000)",F-3,5,1
3926(a)(1.1),"Theft of services-obtain telecommunications (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3926(a)(1.1),"Theft of services-obtain telecommunications ($200-$2,000/no threat)",M-1,3,m
3926(a)(1.1),Theft of services-obtain telecommunications ($50-‹$200/no threat),M-2,2,m
3926(a)(1.1),Theft of services-obtain telecommunications (‹$50/no threat),M-2,2,m
3926(b),Theft of services-divert service (anhydrous ammonia),F-2,8,2
3926(b),Theft of services-divert service (firearm),F-2,8,2
3926(b),"Theft of services-divert service (=›$500,000)",F-1,8,3
3926(b),"Theft of services-divert service ($100,000-‹$500,000)",F-2,7,2
3926(b)*,"Theft of services-divert service (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3926(b)*,"Theft of services-divert service (›$2,000-$25,000)",F-3,5,1
3926(b),"Theft of services-divert service (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3926(b),"Theft of services-divert service ($200-$2,000/no threat)",M-1,3,m
3926(b),Theft of services-divert service ($50-‹$200/no threat),M-2,2,m
3926(b),Theft of services-divert service (‹$50/no threat),M-3,1,m
3926(e),Theft of services-transfer device/plan,M-3,1,m
3927(a),Theft by failure-req. disposition funds (anhydrous ammonia),F-2,8,2
3927(a),Theft by failure-req. disposition funds (firearm),F-2,8,2
3927(a),"Theft by failure-req. disposition funds (=›$500,000)",F-1,8,3
3927(a),"Theft by failure-req. disposition funds ($100,000-‹$500,000)",F-2,7,2
3927(a)*,"Theft by failure-req. disposition funds (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3927(a)*,"Theft by failure-req. disposition funds (›$2,000-$25,000)",F-3,5,1
3927(a),"Theft by failure-req. disposition funds (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3927(a),"Theft by failure-req. disposition funds ($200-$2,000/no threat)",M-1,3,m
3927(a),Theft by failure-req. disposition funds ($50-‹$200/no threat),M-2,2,m
3927(a),Theft by failure-req. disposition funds (‹$50/no threat),M-3,1,m
3928(a),Unauthorized use of auto,M-2,2,m
3928(a),Unauthorized use of auto (disaster),F-2,8,2
3929(a)(1),"Retail theft-take merchandise (›$1,000/or firearm/motor vehicle)",F-3,5,1
3929(a)(1),Retail theft-take merchandise (1st/2nd off & ›=$150),M-1,2,m
3929(a)(1),Retail theft-take merchandise (2nd off & ‹$150),M-2,2,m
3929(a)(1),Retail theft-take merchandise (3rd/subsq off),F-3,3,1
3929(a)(1),Retail theft-take merchandise (disaster),F-2,8,2
3929(a)(2),"Retail theft-alter price (›$1,000/or firearm/motor vehicle)",F-3,5,1
3929(a)(2),Retail theft-alter price (1st/2nd off & ›=$150),M-1,2,m
3929(a)(2),Retail theft-alter price (2nd off & ‹$150),M-2,2,m
3929(a)(2),Retail theft-alter price (3rd/subsq off),F-3,3,1
3929(a)(2),Retail theft-alter price (disaster),F-2,8,2
3929(a)(3),"Retail theft-transfer container (›$1,000/or firearm/motor vehicle)",F-3,5,1
3929(a)(3),Retail theft-transfer container (1st/2nd off & ›=$150),M-1,2,m
3929(a)(3),Retail theft-transfer container (2nd off & ‹$150),M-2,2,m
3929(a)(3),Retail theft-transfer container (3rd/subsq off),F-3,3,1
3929(a)(3),Retail theft-transfer container (disaster),F-2,8,2
3929(a)(4),"Retail theft-under-rings (›$1,000/or firearm/motor vehicle)",F-3,5,1
3929(a)(4),Retail theft-under-rings (1st/2nd off & ›=$150),M-1,2,m
3929(a)(4),Retail theft-under-rings (2nd off & ‹$150),M-2,2,m
3929(a)(4),Retail theft-under-rings (3rd/subsq off),F-3,3,1
3929(a)(4),Retail theft-under-rings (disaster),F-2,8,2
3929(a)(5),"Retail theft-tamper w/ inventory tag (›$1,000/or firearm/motor vehicle)",F-3,5,1
3929(a)(5),Retail theft-tamper w/ inventory tag (1st/2nd off & ›=$150),M-1,2,m
