Top_500_Rank,Artist_Name,Turnover,Sold Lots,Highest Price
454,Ralph FLECK ,"$272,504",36.0,"$63,756"
455,Mona HATOUM ,"$272,346",12.0,"$98,486"
456,PENG Wei ,"$272,269",8.0,"$123,303"
457,Herbert BRANDL ,"$272,075",14.0,"$53,103"
458,Carol BOVE ,"$271,786",4.0,"$150,000"
459,Pacita Barsana ABAD ,"$271,197",15.0,"$87,629"
460,Keith COVENTRY ,"$271,125",7.0,"$74,745"
461,Kiki SMITH ,"$270,696",35.0,"$95,880"
462,FONCKY-TWO ,"$270,520",3.0,"$250,958"
463,Liza LOU ,"$270,444",6.0,"$200,000"
464,Koen VAN DEN BROEK ,"$269,278",12.0,"$57,493"
465,Rodel TAPAYA-GARCIA ,"$266,944",9.0,"$87,703"
466,Allen MADDOX ,"$265,843",29.0,"$61,723"
467,Jeff WALL ,"$265,799",6.0,"$138,605"
468,Rowan GILLESPIE ,"$265,334",13.0,"$43,568"
469,Francesco CLEMENTE ,"$265,072",35.0,"$27,904"
470,Ibrahim MAHAMA ,"$264,498",5.0,"$105,818"
471,Shane COTTON ,"$264,331",13.0,"$57,994"
472,Bharti KHER ,"$264,248",5.0,"$148,032"
473,HUNG Yi ,"$263,593",8.0,"$80,489"
474,WU Yi ,"$263,317",10.0,"$191,268"
475,LI Jinkun ,"$262,876",8.0,"$93,420"
476,CHEN Tao ,"$261,027",1.0,"$261,027"
477,VHILS ,"$260,908",15.0,"$62,360"
478,CUI Jingzhe ,"$260,726",6.0,"$216,413"
479,Canan TOLON ,"$260,453",7.0,"$73,381"
480,Nicola DE MARIA ,"$258,554",21.0,"$30,221"
481,Xenia HAUSNER ,"$257,197",10.0,"$88,615"
482,Tomoya TSUKAMOTO ,"$257,069",3.0,"$120,056"
483,Donald SULTAN ,"$255,581",59.0,"$47,500"
484,Wilhelm SASNAL ,"$255,312",16.0,"$55,062"
485,YOU Jin ,"$255,161",2.0,"$167,532"
486,David ALTMEJD ,"$254,701",4.0,"$105,175"
487,SHU Qun ,"$251,942",1.0,"$251,942"
488,AN Qibang ,"$251,692",4.0,"$116,111"
489,Dong-Youb LEE ,"$251,440",5.0,"$80,960"
490,Ana MIRALLES ,"$246,539",15.0,"$28,463"
491,Herv DI ROSA ,"$245,672",89.0,"$27,063"
492,Chantal JOFFE ,"$245,419",12.0,"$57,450"
493,XU Zhen ,"$244,933",6.0,"$95,574"
494,WEI Ershen ,"$244,794",4.0,"$142,807"
495,WU Huan ,"$244,347",10.0,"$52,154"
496,Jason MARTIN ,"$243,785",7.0,"$65,689"
497,Michael KREBBER ,"$242,658",5.0,"$175,000"
498,Richard MISRACH ,"$242,633",16.0,"$81,250"
499,Norman Clive CATHERINE ,"$242,071",103.0,"$44,466"
500,Leonid PURYGIN ,"$241,908",10.0,"$104,335"
